,Logistic Regression_Army,Logistic Regression_Marine,Multinomial Naive Bayes_Army,Multinomial Naive Bayes_Marine,Random Forest_Army,Random Forest_Marine,Gradient Boosting_Army,Gradient Boosting_Marine
boy,0.0,0.0,0.0,0.0,0.0,0.0,0.008347857711018916,0.008347857711018916
novosel,0.10345280671469748,0.0,8.792007671674442,0.0,0.0,0.0,0.0,0.0
one,0.0,0.8913390432121325,0.0,6.627417893138994,0.007994399685526486,0.007994399685526486,0.018267339140417498,0.018267339140417498
drug,0.0,0.0,0.0,0.0,0.0,0.0,0.010720317779771279,0.010720317779771279
oki,0.0,0.0,0.0,0.0,0.0,0.0,0.008213839103075654,0.008213839103075654
device,0.0,0.0,0.0,0.0,0.0,0.0,0.012924373818444645,0.012924373818444645
noise,0.182191784117718,0.0,8.792007671674442,0.0,0.0,0.0,0.0,0.0
air,0.0,0.0,0.0,0.0,0.0,0.0,0.00919838608957183,0.00919838608957183
nlt,0.13861507704181936,0.0,8.792007671674442,0.0,0.0,0.0,0.0,0.0
obtaining,0.1988114517288671,0.0,8.792007671674442,0.0,0.0,0.0,0.0,0.0
said,0.0,0.0,0.0,0.0,0.004975037982854045,0.004975037982854045,0.0,0.0
nonsense,0.04877385430254485,0.0,8.792007671674442,0.0,0.0,0.0,0.0,0.0
got,0.0,0.5820248530414783,0.0,6.737945182187152,0.005068670222511856,0.005068670222511856,0.0,0.0
semper,0.0,0.0,0.0,0.0,0.005732239892561181,0.005732239892561181,0.01036800474085591,0.01036800474085591
