Logistic Regression_Schizophrenia,Logistic Regression_Bipolar,Multinomial Naive Bayes_Schizophrenia,Multinomial Naive Bayes_Bipolar,Random Forest,Gradient Boosting
0.4589631981774777,0.0,6.198248353856444,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.009112730827482944
0.0,0.0845974055855205,0.0,9.06625191097746,0.0,0.0
0.0,0.06770781602624475,0.0,9.06625191097746,0.0,0.0
0.0,0.0,0.0,0.0,0.0048964323703785595,0.0
0.2549800982586337,0.0,6.2377540488975445,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.009043564220845386,0.016200759237699265
0.2518799131813303,0.0,6.457779903022304,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0062345094981536035,0.008429749710762652
0.0,0.1843632451074758,0.0,9.06625191097746,0.0,0.0
0.8782875014380372,0.0,5.539058163213644,0.0,0.005948105445448639,0.0
0.0,0.029082404133310858,0.0,9.06625191097746,0.0,0.0
1.0919491733676883,0.0,5.938713301929418,0.0,0.005683207267737678,0.0
2.9638625529337133,0.0,8.075006659342513,0.0,0.011804825537240408,0.05586526076933785
0.0,0.19545968891769278,0.0,9.06625191097746,0.0,0.0
0.3136838536981845,0.0,6.339045946853423,0.0,0.0,0.0
0.027953302098669013,0.0,6.4700228910057085,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.004957284390724008,0.0
0.7635318177357183,0.0,6.378048765379349,0.0,0.0,0.0
5.068065241146698,0.0,8.824001447274187,0.0,0.02609748746675341,0.2485258373333037
0.0,0.05073908813730754,0.0,9.06625191097746,0.0,0.0
0.0,0.1800537202162362,0.0,9.06625191097746,0.0,0.0
0.10981943803380557,0.0,6.527410294742699,0.0,0.0,0.0
0.0,0.10153234775296609,0.0,9.06625191097746,0.0,0.0
0.21605007403011203,0.0,6.01951168825515,0.0,0.0,0.0
0.0,0.11699474601374826,0.0,9.06625191097746,0.0,0.0
0.0,0.05982680769341594,0.0,9.06625191097746,0.0,0.0
0.0,0.0,0.0,0.0,0.007135389145166413,0.005992538756910603
0.0,0.06211090942666901,0.0,9.06625191097746,0.0,0.0
0.0,0.07708717752695637,0.0,9.06625191097746,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.006453758960063266
0.0,0.0,0.0,0.0,0.008766574741159085,0.03632653864264793
0.0,0.0,0.0,0.0,0.0071015087999848035,0.013646837624424802
0.41896360641026775,0.0,6.4207709292366895,0.0,0.0,0.0
0.0,0.2805416595177811,0.0,9.06625191097746,0.0,0.0
0.0,0.0,0.0,0.0,0.02152422313620568,0.07735730480985592
0.0,0.03136651162706384,0.0,9.06625191097746,0.0,0.0
0.0,0.0,0.0,0.0,0.005496912308347869,0.0
0.0,0.0,0.0,0.0,0.0052330240071151056,0.010045427337512255
0.22422191618535123,0.0,6.465149938863564,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0058196340948938104,0.0
0.0,0.0,0.0,0.0,0.0332417216150292,0.1911244666442318
0.0,0.08919422989403175,0.0,9.06625191097746,0.0,0.0
1.4056232333690137,0.0,7.124466612294517,0.0,0.0,0.0
0.0,0.12341070499137172,0.0,9.06625191097746,0.0,0.0
0.4692326096479022,0.0,6.110011552910902,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.006316542098093759
0.0,0.0,0.0,0.0,0.0,0.01093959570583644
0.0,0.0,0.0,0.0,0.01393364132122328,0.04290065358634941
0.0,0.21261607652372697,0.0,9.06625191097746,0.0,0.0
0.0,0.22991940348298426,0.0,9.06625191097746,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.005816175987265491
0.0,0.5140393323694373,0.0,9.06625191097746,0.0,0.0
0.662321755410312,0.0,6.174109247091568,0.0,0.0,0.0
0.0,0.1531438193866512,0.0,9.06625191097746,0.0,0.0
0.6702276028465743,0.0,5.946793936450359,0.0,0.0055734882639024595,0.009505664205289565
1.6289487402402014,0.0,5.551185389849785,0.0,0.008463608558337433,0.030039064631194143
0.0,0.0,0.0,0.0,0.005872397759329303,0.006989946461007719
0.0,0.0,0.0,0.0,0.0,0.01112176695596694
0.6124055878895845,0.0,5.981629501619194,0.0,0.0,0.0
