,Army,USMC,accuracy,macro avg,weighted avg
precision,0.8,0.8484848484848485,0.8046647230320699,0.8242424242424242,0.8127219719056453
recall,0.9802371541501976,0.3111111111111111,0.8046647230320699,0.6456741326306543,0.8046647230320699
f1-score,0.8809946714031972,0.4552845528455285,0.8046647230320699,0.6681396121243628,0.7692923079332551
support,253.0,90.0,0.8046647230320699,343.0,343.0
