,Army,USMC,accuracy,macro avg,weighted avg
precision,0.7597597597597597,1.0,0.7667638483965015,0.8798798798798799,0.822796557490435
recall,1.0,0.1111111111111111,0.7667638483965015,0.5555555555555556,0.7667638483965015
f1-score,0.863481228668942,0.19999999999999998,0.7667638483965015,0.531740614334471,0.689389944178549
support,253.0,90.0,0.7667638483965015,343.0,343.0
