,Army,USMC,accuracy,macro avg,weighted avg
precision,0.8051948051948052,0.8571428571428571,0.8104956268221575,0.8311688311688312,0.8188254893794253
recall,0.9802371541501976,0.3333333333333333,0.8104956268221575,0.6567852437417655,0.8104956268221575
f1-score,0.8841354723707665,0.48,0.8104956268221575,0.6820677361853833,0.7780940947807694
support,253.0,90.0,0.8104956268221575,343.0,343.0
