,Army,USMC,accuracy,macro avg,weighted avg
precision,0.8620689655172413,0.6585365853658537,0.8134110787172012,0.7603027754415475,0.8086639678098801
recall,0.8893280632411067,0.6,0.8134110787172012,0.7446640316205533,0.8134110787172012
f1-score,0.8754863813229572,0.627906976744186,0.8134110787172012,0.7516966790335716,0.8105238553401892
support,253.0,90.0,0.8134110787172012,343.0,343.0
