,precision,recall,f1-score,support
bipolar,0.7832512315270936,0.9085714285714286,0.8412698412698413,175.0
schizophrenia,0.8823529411764706,0.7317073170731707,0.8,164.0
accuracy,0.8230088495575221,0.8230088495575221,0.8230088495575221,0.8230088495575221
macro avg,0.8328020863517821,0.8201393728222997,0.8206349206349206,339.0
weighted avg,0.8311942415049632,0.8230088495575221,0.821304490331039,339.0
