,precision,recall,f1-score,support
Army,0.8051948051948052,0.9802371541501976,0.8841354723707665,253.0
USMC,0.8571428571428571,0.3333333333333333,0.48,90.0
accuracy,0.8104956268221575,0.8104956268221575,0.8104956268221575,0.8104956268221575
macro avg,0.8311688311688312,0.6567852437417655,0.6820677361853833,343.0
weighted avg,0.8188254893794253,0.8104956268221575,0.7780940947807694,343.0
