,Army,USMC,accuracy,macro avg,weighted avg
precision,0.7653631284916201,0.875,0.7700534759358288,0.8201815642458101,0.7940915065873987
recall,0.9927536231884058,0.14285714285714285,0.7700534759358288,0.5678053830227743,0.7700534759358288
f1-score,0.864353312302839,0.2456140350877193,0.7700534759358288,0.5549836736952791,0.7022237690753477
support,276.0,98.0,0.7700534759358288,374.0,374.0
