,precision,recall,f1-score,support
bipolar,0.8125,0.8284313725490197,0.820388349514563,204.0
schizophrenia,0.7891566265060241,0.7705882352941177,0.7797619047619048,170.0
accuracy,0.8021390374331551,0.8021390374331551,0.8021390374331551,0.8021390374331551
macro avg,0.8008283132530121,0.7995098039215687,0.8000751271382338,374.0
weighted avg,0.8018893756845564,0.8021390374331551,0.8019217837179002,374.0
