,precision,recall,f1-score,support
Army,0.8,0.9802371541501976,0.8809946714031972,253.0
USMC,0.8484848484848485,0.3111111111111111,0.4552845528455285,90.0
accuracy,0.8046647230320699,0.8046647230320699,0.8046647230320699,0.8046647230320699
macro avg,0.8242424242424242,0.6456741326306543,0.6681396121243628,343.0
weighted avg,0.8127219719056453,0.8046647230320699,0.7692923079332551,343.0
