,Army,USMC,accuracy,macro avg,weighted avg
precision,0.8595890410958904,0.6951219512195121,0.8235294117647058,0.7773554961577013,0.8164933865293528
recall,0.9094202898550725,0.5816326530612245,0.8235294117647058,0.7455264714581484,0.8235294117647058
f1-score,0.8838028169014085,0.6333333333333334,0.8235294117647058,0.7585680751173709,0.8181717757525545
support,276.0,98.0,0.8235294117647058,374.0,374.0
